name,label,function_scope_level,branch_scope_level,loop_scope_level,parameter_block_presence,pipeline_usage_level,decode_activity_profile,network_command_profile,task_registry_profile,credential_runtime_profile,structure_rhythm_profile,layout_variation_profile,identifier_variation_profile,content_encoding_profile,command_surface_profile,extension_import_profile
data_019872.ps1,0,0,1,1,1,1,0,1,0,2,2,0,2,2,2,0
data_043496.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_050207.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
data_047434.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
data_040648.ps1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
data_033683.ps1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,2,0
data_041542.ps1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0
data_027558.ps1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0
data_014004.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_063728.ps1,2,1,1,1,1,0,0,0,0,0,2,0,0,2,2,0
data_056681.ps1,2,1,0,1,0,1,0,0,0,1,2,0,2,0,2,0
data_051317.ps1,1,1,1,1,1,0,0,0,0,1,2,0,0,1,2,0
data_021678.ps1,0,1,1,1,1,1,0,0,0,0,2,0,2,1,2,0
data_023998.ps1,0,1,0,1,0,1,0,0,0,0,2,0,1,2,2,0
data_066495.ps1,2,1,0,0,0,1,0,0,0,1,1,0,1,2,2,0
data_068002.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,1,2,0
data_022528.ps1,0,1,1,0,1,0,0,0,0,0,2,0,2,0,2,0
data_035121.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,1,2,0
data_044144.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
data_056956.ps1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0
data_041175.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_035504.ps1,0,0,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_032587.ps1,0,1,0,0,0,1,0,0,0,1,1,0,1,2,2,0
data_031201.ps1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
data_036067.ps1,0,1,0,1,0,0,0,0,1,0,2,0,2,2,1,0
data_058551.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_016969.ps1,0,1,0,0,1,0,0,0,0,1,1,0,2,0,2,0
data_062444.ps1,2,0,0,1,0,1,0,0,0,0,1,0,1,1,2,0
data_065947.ps1,2,1,1,1,1,1,0,0,0,0,2,0,0,1,2,0
data_060350.ps1,2,1,1,1,1,0,0,0,0,0,2,0,1,0,2,0
data_026640.ps1,0,1,1,1,1,1,0,1,0,2,2,0,1,2,2,0
data_043712.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_048627.ps1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
data_028969.ps1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0
data_050090.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_034728.ps1,0,1,1,1,0,1,0,0,0,0,2,0,2,1,2,0
data_036162.ps1,0,0,1,1,1,1,0,0,0,0,2,0,2,1,2,0
data_020230.ps1,0,1,1,1,1,1,0,1,0,2,2,0,1,2,2,0
data_048186.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_066543.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_028712.ps1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_033211.ps1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0
data_057151.ps1,2,1,1,0,1,1,0,0,0,0,2,0,0,2,2,0
data_035746.ps1,0,1,1,0,1,0,0,0,0,0,2,0,2,0,2,0
data_061219.ps1,2,0,1,1,0,1,0,0,0,0,2,0,0,2,2,0
data_018538.ps1,0,1,1,1,1,0,0,0,1,0,2,0,1,2,2,1
data_049154.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
data_047206.ps1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,2,0
data_066020.ps1,2,0,1,1,1,1,0,0,0,1,2,0,0,2,2,0
data_036913.ps1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
data_045477.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_030177.ps1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
data_060296.ps1,2,0,0,1,0,1,0,0,0,0,1,0,0,2,2,0
data_032393.ps1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,2,0
data_049317.ps1,1,0,1,1,0,0,1,0,0,0,2,0,0,2,1,0
data_015219.ps1,0,0,1,0,1,1,0,0,0,0,1,0,1,2,2,0
data_022858.ps1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0
data_033130.ps1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
data_061831.ps1,2,1,1,1,1,1,0,0,0,0,2,0,0,2,2,0
data_065556.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,1,2,0
data_033277.ps1,0,1,1,0,0,0,0,0,0,0,2,0,1,1,1,0
data_030233.ps1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_050350.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_035440.ps1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0
data_046568.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_026370.ps1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,2,0
data_042652.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_067823.ps1,2,1,1,1,1,1,1,0,0,1,2,0,2,2,2,0
data_050166.ps1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
data_058815.ps1,2,1,1,1,1,1,0,0,1,0,2,0,0,1,2,0
data_029520.ps1,0,1,1,1,1,1,0,0,0,0,2,0,2,2,2,0
data_051595.ps1,1,1,1,1,1,1,0,0,0,0,2,0,2,1,2,0
data_045472.ps1,1,1,1,1,0,0,0,0,2,1,2,0,2,2,1,0
data_023284.ps1,0,1,1,0,1,1,0,0,0,0,2,0,2,1,2,0
data_031456.ps1,0,1,0,1,0,1,0,0,0,0,2,0,1,2,2,0
data_017617.ps1,0,1,1,1,1,1,0,0,0,1,2,0,2,2,2,0
data_045339.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
data_027473.ps1,0,1,1,0,1,1,0,0,0,0,2,0,2,1,2,0
data_015114.ps1,0,1,1,1,1,0,0,0,0,0,2,0,1,2,2,1
data_035356.ps1,0,1,0,1,1,1,0,0,0,1,2,0,1,1,2,1
data_058395.ps1,2,0,1,1,0,1,0,0,1,0,2,0,2,2,2,0
data_045034.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_030159.ps1,0,0,1,1,0,1,0,0,0,0,2,0,1,2,2,1
data_047854.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_018740.ps1,0,0,1,1,1,0,0,0,0,1,2,0,2,2,2,1
data_026528.ps1,0,1,1,1,1,1,0,1,0,1,2,0,2,2,2,0
data_042881.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_037152.ps1,0,1,0,1,0,1,0,0,0,1,2,0,2,2,2,0
data_034716.ps1,0,1,1,0,1,0,0,0,0,0,2,0,1,2,2,0
data_017030.ps1,0,1,1,1,1,1,0,0,0,1,2,0,2,1,2,0
data_027462.ps1,0,1,1,1,1,1,0,0,0,1,2,0,2,2,2,0
data_059551.ps1,2,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0
data_036901.ps1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
data_061309.ps1,2,0,0,1,0,1,0,0,0,0,1,0,1,1,2,0
data_030003.ps1,0,1,1,1,1,0,0,0,0,0,2,0,2,1,2,0
data_067101.ps1,2,1,0,1,1,1,0,0,1,0,2,0,0,1,2,0
data_019794.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,1,2,0
data_066389.ps1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0
data_057983.ps1,2,1,1,1,0,1,0,0,0,1,2,0,0,2,2,0
data_022784.ps1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,2,0
data_046097.ps1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
data_034496.ps1,0,1,0,1,0,1,0,0,0,0,2,0,2,1,2,0
data_033946.ps1,0,1,1,0,1,1,0,0,0,0,2,0,1,2,2,0
data_061060.ps1,2,0,0,1,1,0,0,0,0,0,1,0,0,2,2,0
data_028749.ps1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_027723.ps1,0,1,1,0,1,1,0,0,1,0,2,0,2,2,2,0
data_031411.ps1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
data_029639.ps1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,2,0
data_026613.ps1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1
data_017715.ps1,0,1,1,1,1,1,0,0,0,1,2,0,1,2,2,0
data_060028.ps1,2,1,1,1,0,1,1,0,0,0,2,0,0,2,2,0
data_044472.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_043176.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_021779.ps1,0,1,1,0,1,1,0,0,0,0,2,0,1,0,2,0
data_019522.ps1,0,1,1,1,1,1,0,1,1,2,2,0,2,2,2,0
data_067061.ps1,2,0,1,1,1,1,0,0,0,0,2,0,1,1,2,0
data_036569.ps1,0,1,1,1,1,1,0,0,0,1,2,0,1,2,2,0
data_057874.ps1,2,1,1,1,0,1,0,0,0,1,2,0,1,2,2,0
data_045382.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0
data_029433.ps1,0,1,1,0,0,0,0,0,0,0,2,0,1,1,1,0
data_018303.ps1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0
data_046360.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0
data_041235.ps1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,2,0
data_020821.ps1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0
data_019836.ps1,0,0,1,1,1,1,0,0,0,1,2,0,1,1,2,0
data_032183.ps1,0,1,1,0,0,1,0,0,0,0,2,0,1,2,2,0
data_014465.ps1,0,1,1,0,1,1,0,0,0,0,2,0,1,2,2,1
data_065693.ps1,2,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0
data_022615.ps1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_016174.ps1,0,1,1,1,1,1,0,0,0,1,2,0,1,1,2,0
data_037336.ps1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
data_041133.ps1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
data_021892.ps1,0,1,1,1,1,1,0,0,0,0,2,0,2,0,2,0
data_016182.ps1,0,0,1,1,1,1,0,0,0,0,2,0,2,2,2,0
data_023195.ps1,0,1,1,1,1,1,0,0,1,0,2,0,1,1,2,1
data_032194.ps1,0,1,0,0,0,1,0,0,0,0,1,0,2,2,2,0
data_040280.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_016385.ps1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_067881.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_060731.ps1,2,0,1,1,1,1,0,0,0,1,2,0,2,2,2,0
data_030974.ps1,0,1,0,0,0,1,0,0,0,1,1,0,2,1,2,0
data_021955.ps1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,2,0
data_028090.ps1,0,0,0,1,1,1,0,0,0,0,1,0,2,0,2,0
data_065657.ps1,2,0,1,1,0,1,0,0,0,0,2,0,2,1,2,0
data_036932.ps1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
data_037249.ps1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0
data_019687.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_029726.ps1,0,1,1,1,1,1,0,0,0,1,2,0,1,1,2,0
data_048562.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_016561.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_064826.ps1,2,1,1,1,1,1,0,0,0,1,2,0,0,1,2,0
data_036022.ps1,0,1,1,0,1,1,0,0,0,0,2,0,2,0,2,0
data_048842.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_059179.ps1,2,1,1,1,0,1,0,0,0,1,2,0,1,1,2,0
data_022807.ps1,0,1,1,0,1,0,0,0,0,0,2,0,2,0,2,0
data_046412.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_059196.ps1,2,1,1,0,0,1,0,0,0,0,2,0,1,0,2,0
data_047309.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_048304.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_052390.ps1,1,1,0,0,0,1,0,0,0,1,1,0,0,2,2,0
data_022869.ps1,0,0,1,1,1,1,0,0,0,1,2,0,2,1,2,0
data_042714.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0
data_022293.ps1,0,1,1,1,1,1,0,0,0,1,2,0,1,1,2,0
data_043790.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_047662.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_023267.ps1,0,1,1,0,0,1,0,0,0,0,2,0,1,0,2,0
data_029286.ps1,0,1,1,0,1,1,0,0,0,0,2,0,2,1,2,0
data_066221.ps1,2,1,1,1,0,1,0,0,0,0,2,0,0,1,2,0
data_046666.ps1,1,0,1,1,0,0,1,0,0,0,2,0,0,2,1,0
data_043421.ps1,1,0,1,1,0,0,1,0,0,0,2,0,1,2,1,0
data_029217.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_016980.ps1,0,1,0,0,1,1,0,0,0,1,1,0,2,1,2,0
data_044663.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_052550.ps1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,2,0
data_040819.ps1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
data_020075.ps1,0,1,1,1,1,1,1,0,0,1,2,0,1,2,2,0
data_016984.ps1,0,1,1,1,1,1,0,0,0,1,2,0,2,1,2,0
data_046811.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_049916.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_034840.ps1,0,1,1,0,1,0,0,0,0,0,2,0,1,1,2,0
data_046437.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_066251.ps1,2,0,1,0,1,1,0,0,0,1,1,0,0,2,2,0
data_040274.ps1,1,0,0,0,0,1,0,0,0,1,0,1,2,1,2,0
data_050609.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_020890.ps1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0
data_043396.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_051875.ps1,1,1,0,1,0,1,0,0,0,0,2,0,0,2,2,0
data_034088.ps1,0,0,1,0,1,1,0,0,0,0,1,0,1,2,2,0
data_065976.ps1,2,1,0,0,0,1,0,0,0,1,1,0,1,1,2,0
data_066948.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_023011.ps1,0,1,1,0,1,1,0,1,1,2,2,0,2,1,2,0
data_062884.ps1,2,1,1,1,1,1,0,0,0,0,2,0,0,1,2,0
data_058514.ps1,2,0,0,1,0,1,0,1,0,2,1,0,0,2,2,1
data_048734.ps1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,2,0
data_057363.ps1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0
data_014469.ps1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,2,1
data_020920.ps1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,2,1
data_060835.ps1,2,1,1,0,1,1,0,0,0,0,2,0,0,1,2,1
data_020887.ps1,0,1,1,0,0,1,0,0,0,0,2,0,1,2,2,0
data_026887.ps1,0,1,1,0,1,0,0,1,0,1,2,0,2,0,2,0
data_057081.ps1,2,1,1,1,1,0,0,0,1,0,2,0,0,1,2,0
data_027705.ps1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,2,0
data_058937.ps1,2,1,1,1,1,0,0,0,0,0,2,0,0,2,2,0
data_019348.ps1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0
data_051249.ps1,1,1,0,0,1,1,0,0,0,0,1,0,2,1,2,0
data_040936.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_062627.ps1,2,1,1,1,1,1,1,0,0,0,2,0,0,2,2,1
data_023113.ps1,0,1,1,0,1,0,0,0,0,0,2,0,1,1,2,0
data_037443.ps1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0
data_059414.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,1,2,0
data_026750.ps1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0
data_047702.ps1,1,0,0,0,0,1,0,0,0,1,0,1,2,1,2,0
data_033466.ps1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
data_046906.ps1,1,0,0,0,0,1,0,0,0,1,0,1,2,1,2,0
data_050761.ps1,1,1,1,1,1,1,0,1,0,2,2,0,1,2,2,0
data_056865.ps1,2,1,1,1,0,1,0,0,0,0,2,0,1,1,2,0
data_017168.ps1,0,1,1,0,1,1,0,0,0,1,2,0,1,1,2,0
data_024852.ps1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,2,0
data_049804.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_041308.ps1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
data_030135.ps1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0
data_051622.ps1,1,1,0,0,0,1,0,0,0,1,1,0,1,2,2,0
data_029444.ps1,0,1,1,1,1,1,0,0,0,1,2,0,0,2,2,0
data_046576.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
data_020429.ps1,0,0,1,1,1,1,0,1,1,1,2,0,2,1,2,0
data_024229.ps1,0,1,0,1,0,1,0,0,0,1,2,0,2,1,2,0
data_045530.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_034089.ps1,0,0,1,0,1,1,0,0,0,0,1,0,1,2,2,0
data_019582.ps1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0
data_030467.ps1,0,1,1,0,1,0,0,0,0,0,2,0,1,2,2,0
data_045617.ps1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
data_058178.ps1,2,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_065164.ps1,2,0,1,1,1,1,1,0,0,0,2,0,2,2,2,0
data_049230.ps1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,2,0
data_046286.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_031363.ps1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,2,0
data_047727.ps1,1,0,0,0,0,1,0,0,0,1,0,1,2,1,2,0
data_065047.ps1,2,0,1,1,0,0,0,0,1,0,2,0,1,2,1,0
data_032650.ps1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,2,0
data_035299.ps1,0,1,1,1,1,0,0,0,0,1,2,0,1,2,2,0
data_020954.ps1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
data_029132.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_027471.ps1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0
data_047180.ps1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
data_045642.ps1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
data_047836.ps1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
data_022647.ps1,0,1,1,1,1,1,0,0,0,0,2,0,1,2,2,0
data_031588.ps1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
data_057087.ps1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0
data_016132.ps1,0,1,1,0,1,0,0,0,0,0,2,0,1,0,2,0
data_064815.ps1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0
